Date,Open,High,Low,Close,Adj Close,Volume
6/4/2015,40.34,41.779999,40.18,41.549999,37.464993,39223700
7/4/2015,41.610001,41.91,41.310001,41.529999,37.446957,28809400
8/4/2015,41.459999,41.689999,41.040001,41.419998,37.347771,24753400
9/4/2015,41.25,41.619999,41.25,41.48,37.401886,25723900
10/4/2015,41.630001,41.950001,41.41,41.720001,37.618282,28022000
13/4/2015,41.400002,42.060001,41.389999,41.759998,37.654354,30276700
14/4/2015,41.799999,42.029999,41.389999,41.650002,37.555172,24244400
15/4/2015,41.759998,42.459999,41.68,42.259998,38.10519,27343600
16/4/2015,41.950001,42.34,41.82,42.16,38.01503,22509700
17/4/2015,41.669998,41.740002,41.16,41.619999,37.528114,42387600
20/4/2015,41.73,43.169998,41.68,42.91,38.691284,46057700
21/4/2015,43,43.150002,42.529999,42.639999,38.447842,26013800
22/4/2015,42.669998,43.130001,42.549999,42.990002,38.763428,25064300
23/4/2015,42.889999,43.610001,42.799999,43.34,39.079014,46309500
24/4/2015,45.66,48.139999,45.650002,47.869999,43.163647,130933700
27/4/2015,47.23,48.130001,47.220001,48.029999,43.307915,59248200
28/4/2015,47.779999,49.209999,47.700001,49.16,44.326824,60730800
29/4/2015,48.720001,49.310001,48.5,49.060001,44.236649,47804600
30/4/2015,48.700001,49.540001,48.599998,48.639999,43.857941,64725500
1/5/2015,48.580002,48.880001,48.400002,48.66,43.875984,38937300
4/5/2015,48.369999,48.869999,48.18,48.240002,43.497272,34039500
5/5/2015,47.82,48.16,47.310001,47.599998,42.920189,50369200
6/5/2015,47.57,47.77,46.02,46.279999,41.729969,52433000
7/5/2015,46.27,47.09,46.16,46.700001,42.108677,32971700
8/5/2015,47.549999,47.98,47.52,47.75,43.055447,35364900
11/5/2015,47.549999,47.91,47.369999,47.369999,42.712799,24609400
12/5/2015,46.849998,47.68,46.419998,47.349998,42.694778,29928300
13/5/2015,48.189999,48.32,47.57,47.630001,42.947243,34184600
14/5/2015,48.029999,48.82,48.029999,48.720001,43.93008,32980900
15/5/2015,48.869999,48.91,48.049999,48.299999,43.551365,28642700
18/5/2015,47.98,48.220001,47.610001,48.009998,43.289883,24136500
19/5/2015,47.560001,47.810001,47.18,47.580002,43.180977,28574800
20/5/2015,47.389999,47.93,47.27,47.580002,43.180977,25047900
21/5/2015,47.279999,47.599998,47.009998,47.419998,43.035767,22410700
22/5/2015,47.299999,47.349998,46.82,46.900002,42.563839,25720600
26/5/2015,46.830002,46.880001,46.189999,46.59,42.282513,29581900
27/5/2015,46.82,47.77,46.619999,47.610001,43.208202,27335600
28/5/2015,47.5,48.02,47.389999,47.450001,43.062996,19283700
29/5/2015,47.43,47.57,46.59,46.860001,42.527546,36519600
1/6/2015,47.060001,47.77,46.619999,47.23,42.863331,28837300
2/6/2015,46.93,47.349998,46.619999,46.919998,42.581993,21498300
3/6/2015,47.369999,47.740002,46.82,46.849998,42.518463,28002200
4/6/2015,46.790001,47.16,46.200001,46.360001,42.073772,27745500
5/6/2015,46.310001,46.52,45.84,46.139999,41.874107,25438100
8/6/2015,46.299999,46.43,45.669998,45.73,41.502018,22121600
9/6/2015,45.759998,45.939999,45.459999,45.650002,41.429413,24406100
10/6/2015,45.790001,46.830002,45.689999,46.610001,42.300655,28417400
11/6/2015,46.66,46.919998,46.130001,46.439999,42.14637,27347800
12/6/2015,46.220001,46.470001,45.900002,45.970001,41.71983,23931000
15/6/2015,45.450001,45.650002,45.02,45.48,41.275127,33254500
16/6/2015,45.349998,46.240002,45.299999,45.830002,41.592777,27070300
17/6/2015,45.73,46.07,45.360001,45.970001,41.71983,28704100
18/6/2015,46.220001,46.799999,46.169998,46.720001,42.400486,32658300
19/6/2015,46.790001,46.830002,45.990002,46.099998,41.837811,63837000
22/6/2015,46.330002,46.720001,46.16,46.23,41.955791,20318100
23/6/2015,46.130001,46.279999,45.619999,45.91,41.665382,25896500
24/6/2015,45.669998,46.25,45.549999,45.639999,41.420345,34890900
25/6/2015,46.029999,46.060001,45.5,45.650002,41.429413,20616000
26/6/2015,45.650002,46.279999,45.029999,45.259998,41.075466,49835300
29/6/2015,45.040001,45.23,44.360001,44.369999,40.267754,34081700
30/6/2015,44.709999,44.720001,43.939999,44.150002,40.0681,35945400
1/7/2015,44.459999,45.23,44.099998,44.450001,40.340359,28343900
2/7/2015,44.48,44.75,44.060001,44.400002,40.294971,21752000
6/7/2015,43.959999,44.48,43.950001,44.389999,40.2859,23034000
7/7/2015,44.34,44.490002,43.32,44.299999,40.204227,36435800
8/7/2015,44.439999,44.900002,44.029999,44.240002,40.149776,39785900
9/7/2015,44.75,45.220001,44.5,44.52,40.403893,32424700
10/7/2015,45.009998,45.139999,44.57,44.610001,40.485569,25465800
13/7/2015,44.98,45.619999,44.950001,45.540001,41.32959,28178300
14/7/2015,45.450001,45.959999,45.310001,45.619999,41.40218,22880300
15/7/2015,45.68,45.889999,45.43,45.759998,41.529243,26629600
16/7/2015,46.009998,46.689999,45.970001,46.66,42.346035,26271700
17/7/2015,46.549999,46.779999,46.259998,46.619999,42.309734,29467100
20/7/2015,46.650002,47.130001,46.439999,46.919998,42.581993,30631900
21/7/2015,46.779999,47.330002,46.48,47.279999,42.90871,42781900
22/7/2015,45.439999,46.93,45.200001,45.540001,41.32959,59152400
23/7/2015,45.27,46.23,45.099998,46.110001,41.846882,33934000
24/7/2015,45.91,46.32,45.799999,45.939999,41.6926,32333200
27/7/2015,45.939999,46.009998,45.25,45.349998,41.157143,39701400
28/7/2015,45.580002,45.639999,44.790001,45.34,41.148071,34328900
29/7/2015,45.400002,46.779999,45.259998,46.290001,42.010239,40945900
30/7/2015,46.259998,47.400002,45.93,46.880001,42.545692,39777900
31/7/2015,47.290001,47.369999,46.5,46.700001,42.382339,31201500
3/8/2015,46.98,47,46.450001,46.810001,42.482162,24125900
4/8/2015,46.75,47.709999,46.68,47.540001,43.144669,33403900
5/8/2015,47.98,48.41,47.540001,47.580002,43.180977,26959700
6/8/2015,47.709999,47.77,46.330002,46.619999,42.309734,27368000
7/8/2015,46.389999,46.779999,46.259998,46.740002,42.418644,19163000
10/8/2015,46.950001,47.490002,46.84,47.330002,42.954082,23079900
11/8/2015,46.82,46.939999,45.900002,46.41,42.119148,29237400
12/8/2015,46.189999,46.900002,45.709999,46.740002,42.418644,30181400
13/8/2015,47.060001,47.099998,46.490002,46.73,42.409569,22627200
14/8/2015,46.529999,47.099998,46.52,47,42.654606,21473400
17/8/2015,46.810001,47.450001,46.57,47.32,42.945011,21099700
18/8/2015,46.84,47.43,46.700001,47.27,43.182529,23574100
19/8/2015,46.779999,47.080002,46.299999,46.610001,42.579597,31485500
20/8/2015,46.07,46.470001,45.66,45.66,41.711754,36238200
21/8/2015,45.299999,45.48,43.07,43.07,39.345711,70053100
24/8/2015,40.450001,42.689999,39.720001,41.68,38.075897,88753700
25/8/2015,42.57,43.240002,40.389999,40.470001,36.970531,70616600
26/8/2015,42.009998,42.84,41.060001,42.709999,39.016842,63408000
27/8/2015,43.23,43.950001,42.93,43.900002,40.103935,50943200
28/8/2015,43.400002,44.150002,43.389999,43.93,40.131348,28246700
31/8/2015,43.560001,43.93,43.099998,43.52,39.75679,34441700
1/9/2015,42.169998,42.59,41.66,41.82,38.203796,49688900
2/9/2015,42.360001,43.380001,41.880001,43.360001,39.610626,37671500
3/9/2015,43.41,43.98,43.279999,43.5,39.738522,28285200
4/9/2015,42.810001,43.040001,42.200001,42.610001,38.925491,37138800
8/9/2015,43.299999,44,43.200001,43.889999,40.094799,32469800
9/9/2015,44.209999,44.400002,42.91,43.07,39.345711,33469500
10/9/2015,43.119999,43.790001,42.75,43.290001,39.54668,31366600
11/9/2015,43.139999,43.59,42.939999,43.48,39.720257,27132500
14/9/2015,43.43,43.439999,42.860001,43.040001,39.318302,23656000
15/9/2015,43.189999,44.290001,43.080002,43.98,40.177021,28882200
